Date,Close
2024-01-12,763.17
2024-01-19,716.72
2024-01-26,752.24
2024-02-02,761.57
2024-02-09,742.24
2024-02-16,768.44
2024-03-01,799.10
2024-03-15,771.83
2024-03-22,766.63
2024-03-29,798.86
2024-04-05,821.88
2024-04-12,797.16
2024-04-19,804.60
2024-04-26,833.47
2024-05-03,804.94
2024-05-10,777.86
2024-05-17,831.94
2024-05-24,749.29
2024-05-31,799.24
2024-06-07,760.29
2024-06-14,760.60
2024-06-21,796.37
2024-06-28,799.19
2024-07-05,754.86
2024-07-12,759.36
2024-07-19,755.91
2024-07-26,740.62
2024-08-02,765.93
2024-08-09,765.00
2024-08-16,717.16
2024-08-23,707.94
2024-08-30,743.15
2024-09-06,720.30
2024-09-13,741.22
2024-09-20,699.00
2024-09-27,704.21
2024-10-04,691.29
2024-10-11,664.64
2024-10-18,675.17
2024-10-25,649.08
2024-11-01,669.51
2024-11-08,637.60
2024-11-15,657.03
2024-11-22,644.99
2024-11-29,619.89
2024-12-06,682.55
2024-12-13,653.13
2024-12-20,660.51
2024-12-27,635.75
2025-01-10,686.16
2025-01-17,651.72
2025-01-24,625.43
2025-01-31,650.31
2025-02-07,659.72
2025-02-14,613.02
2025-02-21,655.21
2025-02-28,653.68
2025-03-07,669.35
2025-03-14,653.60
2025-03-21,647.26
2025-03-28,656.16
2025-04-04,634.19
2025-04-11,679.65
2025-04-18,652.38
2025-04-25,641.95
