Date,Close
2024-01-12,407.91
2024-01-19,435.30
2024-01-26,540.37
2024-02-02,573.88
2024-02-09,696.72
2024-02-16,740.56
2024-03-01,729.83
2024-03-15,659.48
2024-03-22,642.85
2024-03-29,705.67
2024-04-05,717.48
2024-04-12,784.45
2024-04-19,621.19
2024-04-26,832.47
2024-05-03,658.08
2024-05-10,722.48
2024-05-17,571.21
2024-05-24,629.56
2024-05-31,595.50
2024-06-07,627.94
2024-06-14,606.16
2024-06-21,587.01
2024-06-28,558.68
2024-07-05,617.81
2024-07-12,616.94
2024-07-19,590.11
2024-07-26,527.28
2024-08-02,493.78
2024-08-09,580.80
2024-08-16,691.93
2024-08-23,564.17
2024-08-30,526.30
2024-09-06,546.53
2024-09-13,528.05
2024-09-20,542.40
2024-09-27,507.09
2024-10-04,503.06
2024-10-11,513.54
2024-10-18,582.63
2024-10-25,510.99
2024-11-01,502.88
2024-11-08,564.02
2024-11-15,525.21
2024-11-22,530.06
2024-11-29,511.04
2024-12-06,526.36
2024-12-13,536.64
2024-12-20,512.33
2024-12-27,526.34
2025-01-10,502.62
2025-01-17,444.22
2025-01-24,445.26
2025-01-31,411.61
2025-02-07,391.69
2025-02-14,392.97
2025-02-21,370.71
2025-02-28,380.71
2025-03-07,338.94
2025-03-14,423.50
2025-03-21,346.90
2025-03-28,343.08
2025-04-04,292.60
2025-04-11,285.65
2025-04-18,323.20
2025-04-25,307.25
