Date,Close
2024-01-12,718.03
2024-01-19,690.19
2024-01-26,707.64
2024-02-02,724.01
2024-02-09,696.75
2024-02-16,718.06
2024-03-01,728.50
2024-03-15,720.15
2024-03-22,704.82
2024-03-29,735.03
2024-04-05,742.26
2024-04-12,731.11
2024-04-19,751.87
2024-04-26,764.86
2024-05-03,746.00
2024-05-10,738.09
2024-05-17,779.36
2024-05-24,705.87
2024-05-31,743.88
2024-06-07,687.59
2024-06-14,711.06
2024-06-21,737.46
2024-06-28,747.26
2024-07-05,707.42
2024-07-12,717.05
2024-07-19,714.13
2024-07-26,679.98
2024-08-02,720.91
2024-08-09,738.99
2024-08-16,687.11
2024-08-23,665.95
2024-08-30,701.04
2024-09-06,699.59
2024-09-13,718.01
2024-09-20,697.41
2024-09-27,686.33
2024-10-04,679.57
2024-10-11,652.83
2024-10-18,681.26
2024-10-25,633.92
2024-11-01,666.77
2024-11-08,640.81
2024-11-15,659.13
2024-11-22,642.43
2024-11-29,638.85
2024-12-06,692.44
2024-12-13,654.83
2024-12-20,679.65
2024-12-27,668.26
2025-01-10,709.94
2025-01-17,670.92
2025-01-24,653.04
2025-01-31,678.48
2025-02-07,675.58
2025-02-14,638.75
2025-02-21,675.37
2025-02-28,690.20
2025-03-07,685.81
2025-03-14,676.91
2025-03-21,658.47
2025-03-28,691.26
2025-04-04,663.69
2025-04-11,718.10
2025-04-18,686.37
2025-04-25,676.00
